#x	Mode 1: Theta Y	Mode 2: Theta Y	Mode 3: Theta Y	Mode 4: Theta Y	Mode 5: Theta Y	Mode 6: Theta Y	Mode 7: Theta Y	Mode 8: Theta Y	Mode 9: Theta Y	Mode 10: Theta Y	Mode 11: Theta Y	Mode 12: Theta Y	Mode 13: Theta Y	Mode 14: Theta Y	Mode 15: Theta Y	Mode 16: Theta Y	Mode 17: Theta Y	Mode 18: Theta Y	Mode 19: Theta Y	Mode 20: Theta Y
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00667000	-0.00065000	0.00401000	0.01019000	-0.01408000	0.01788000	-0.02157000	0.02515000	-0.02862000	0.03197000	-0.03521000	0.03834000	-0.04135000	0.00000000	0.04426000	-0.04705000	0.04974000	-0.05232000	0.00000000	0.05480000	-0.05719000
0.01333000	-0.00129000	0.00790000	0.01984000	-0.02710000	0.03400000	-0.04052000	0.04666000	-0.05241000	0.05778000	-0.06277000	0.06740000	-0.07165000	0.00000000	0.07555000	-0.07909000	0.08229000	-0.08516000	0.00000000	0.08771000	-0.08994000
0.02000000	-0.00193000	0.01165000	0.02893000	-0.03904000	0.04836000	-0.05685000	0.06452000	-0.07138000	0.07744000	-0.08272000	0.08722000	-0.09096000	0.00000000	0.09398000	-0.09628000	0.09789000	-0.09885000	0.00000000	0.09916000	-0.09887000
0.02667000	-0.00256000	0.01528000	0.03749000	-0.04992000	0.06096000	-0.07057000	0.07877000	-0.08558000	0.09103000	-0.09515000	0.09799000	-0.09959000	0.00000000	0.09999000	-0.09926000	0.09744000	-0.09461000	0.00000000	0.09082000	-0.08614000
0.03333000	-0.00318000	0.01877000	0.04549000	-0.05973000	0.07181000	-0.08170000	0.08944000	-0.09509000	0.09870000	-0.10036000	0.10015000	-0.09818000	0.00000000	0.09455000	-0.08939000	0.08282000	-0.07498000	0.00000000	0.06600000	-0.05603000
0.04000000	-0.00380000	0.02214000	0.05295000	-0.06848000	0.08093000	-0.09028000	0.09661000	-0.10004000	0.10070000	-0.09874000	0.09434000	-0.08771000	0.00000000	0.07906000	-0.06864000	0.05668000	-0.04344000	0.00000000	0.02920000	-0.01422000
0.04667000	-0.00441000	0.02537000	0.05987000	-0.07618000	0.08832000	-0.09633000	0.10037000	-0.10063000	0.09737000	-0.09086000	0.08145000	-0.06949000	0.00000000	0.05537000	-0.03953000	0.02238000	-0.00436000	0.00000000	-0.01408000	0.03251000
0.05333000	-0.00502000	0.02848000	0.06624000	-0.08282000	0.09402000	-0.09994000	0.10086000	-0.09713000	0.08916000	-0.07746000	0.06258000	-0.04513000	0.00000000	0.02574000	-0.00509000	-0.01617000	0.03736000	0.00000000	-0.05786000	0.07705000
0.06000000	-0.00562000	0.03145000	0.07207000	-0.08843000	0.09805000	-0.10118000	0.09825000	-0.08984000	0.07663000	-0.05941000	0.03906000	-0.01649000	0.00000000	-0.00733000	0.03145000	-0.05491000	0.07684000	0.00000000	-0.09642000	0.11295000
0.06667000	-0.00621000	0.03430000	0.07736000	-0.09300000	0.10046000	-0.10014000	0.09274000	-0.07915000	0.06041000	-0.03771000	0.01231000	0.01444000	0.00000000	-0.04123000	0.06676000	-0.08986000	0.10946000	0.00000000	-0.12470000	0.13489000
0.07333000	-0.00680000	0.03702000	0.08212000	-0.09657000	0.10129000	-0.09694000	0.08457000	-0.06549000	0.04122000	-0.01343000	-0.01610000	0.04559000	0.00000000	-0.07334000	0.09777000	-0.11753000	0.13156000	0.00000000	-0.13910000	0.13975000
0.08000000	-0.00738000	0.03961000	0.08634000	-0.09913000	0.10059000	-0.09171000	0.07402000	-0.04935000	0.01983000	0.01226000	-0.04461000	0.07496000	0.00000000	-0.10126000	0.12178000	-0.13519000	0.14061000	0.00000000	-0.13772000	0.12668000
0.08667000	-0.00796000	0.04206000	0.09004000	-0.10072000	0.09843000	-0.08461000	0.06137000	-0.03125000	-0.00293000	0.03821000	-0.07168000	0.10066000	0.00000000	-0.12290000	0.13668000	-0.14097000	0.13543000	0.00000000	-0.12045000	0.09711000
0.09333000	-0.00853000	0.04439000	0.09321000	-0.10136000	0.09487000	-0.07579000	0.04696000	-0.01174000	-0.02623000	0.06325000	-0.09586000	0.12108000	0.00000000	-0.13665000	0.14120000	-0.13429000	0.11651000	0.00000000	-0.08932000	0.05501000
0.10000000	-0.00909000	0.04660000	0.09586000	-0.10106000	0.09000000	-0.06545000	0.03113000	0.00861000	-0.04923000	0.08630000	-0.11589000	0.13495000	0.00000000	-0.14150000	0.13486000	-0.11565000	0.08570000	0.00000000	-0.04788000	0.00579000
0.10667000	-0.00965000	0.04867000	0.09801000	-0.09987000	0.08390000	-0.05376000	0.01425000	0.02922000	-0.07112000	0.10635000	-0.13072000	0.14135000	0.00000000	-0.13698000	0.11806000	-0.08663000	0.04612000	0.00000000	-0.00092000	-0.04406000
0.11333000	-0.01021000	0.05061000	0.09964000	-0.09781000	0.07667000	-0.04094000	-0.00332000	0.04951000	-0.09114000	0.12255000	-0.13955000	0.13987000	0.00000000	-0.12339000	0.09211000	-0.04988000	0.00189000	0.00000000	0.04600000	-0.08796000
0.12000000	-0.01075000	0.05243000	0.10078000	-0.09492000	0.06840000	-0.02721000	-0.02120000	0.06893000	-0.10859000	0.13420000	-0.14192000	0.13054000	0.00000000	-0.10157000	0.05900000	-0.00869000	-0.04245000	0.00000000	0.08745000	-0.12018000
0.12667000	-0.01129000	0.05412000	0.10143000	-0.09123000	0.05919000	-0.01278000	-0.03900000	0.08695000	-0.12288000	0.14078000	-0.13765000	0.11383000	0.00000000	-0.07297000	0.02132000	0.03320000	-0.08228000	0.00000000	0.11847000	-0.13635000
0.13333000	-0.01183000	0.05569000	0.10161000	-0.08678000	0.04917000	0.00211000	-0.05637000	0.10308000	-0.13351000	0.14201000	-0.12692000	0.09071000	0.00000000	-0.03952000	-0.01796000	0.07199000	-0.11347000	0.00000000	0.13549000	-0.13445000
0.14000000	-0.01236000	0.05713000	0.10131000	-0.08162000	0.03843000	0.01725000	-0.07293000	0.11689000	-0.14010000	0.13780000	-0.11021000	0.06245000	0.00000000	-0.00346000	-0.05576000	0.10417000	-0.13283000	0.00000000	0.13654000	-0.11474000
0.14667000	-0.01288000	0.05845000	0.10055000	-0.07579000	0.02712000	0.03239000	-0.08837000	0.12801000	-0.14243000	0.12827000	-0.08829000	0.03067000	0.00000000	0.03278000	-0.08908000	0.12676000	-0.13826000	0.00000000	0.12138000	-0.07973000
0.15333000	-0.01340000	0.05964000	0.09934000	-0.06934000	0.01533000	0.04731000	-0.10235000	0.13615000	-0.14039000	0.11380000	-0.06222000	-0.00281000	0.00000000	0.06673000	-0.11530000	0.13777000	-0.12928000	0.00000000	0.09193000	-0.03420000
0.16000000	-0.01391000	0.06070000	0.09770000	-0.06232000	0.00321000	0.06180000	-0.11461000	0.14107000	-0.13403000	0.09494000	-0.03322000	-0.03608000	0.00000000	0.09612000	-0.13237000	0.13619000	-0.10683000	0.00000000	0.05162000	0.01590000
0.16667000	-0.01441000	0.06165000	0.09563000	-0.05478000	-0.00912000	0.07563000	-0.12490000	0.14263000	-0.12353000	0.07239000	-0.00268000	-0.06722000	0.00000000	0.11892000	-0.13890000	0.12211000	-0.07318000	0.00000000	0.00519000	0.06388000
0.17333000	-0.01491000	0.06247000	0.09316000	-0.04677000	-0.02154000	0.08861000	-0.13299000	0.14079000	-0.10921000	0.04706000	0.02795000	-0.09446000	0.00000000	0.13361000	-0.13442000	0.09689000	-0.03193000	0.00000000	-0.04183000	0.10340000
0.18000000	-0.01540000	0.06317000	0.09029000	-0.03836000	-0.03393000	0.10056000	-0.13874000	0.13557000	-0.09150000	0.01992000	0.05721000	-0.11624000	0.00000000	0.13921000	-0.11928000	0.06282000	0.01267000	0.00000000	-0.08396000	0.12927000
0.18667000	-0.01589000	0.06375000	0.08704000	-0.02958000	-0.04615000	0.11129000	-0.14202000	0.12709000	-0.07096000	-0.00797000	0.08368000	-0.13129000	0.00000000	0.13530000	-0.09465000	0.02298000	0.05594000	0.00000000	-0.11614000	0.13792000
0.19333000	-0.01637000	0.06422000	0.08343000	-0.02052000	-0.05810000	0.12065000	-0.14276000	0.11554000	-0.04822000	-0.03551000	0.10610000	-0.13876000	0.00000000	0.12219000	-0.06253000	-0.01894000	0.09339000	0.00000000	-0.13463000	0.12834000
0.20000000	-0.01685000	0.06456000	0.07946000	-0.01121000	-0.06964000	0.12851000	-0.14093000	0.10121000	-0.02400000	-0.06162000	0.12341000	-0.13822000	0.00000000	0.10076000	-0.02544000	-0.05915000	0.12113000	0.00000000	-0.13729000	0.10178000
0.20667000	-0.01732000	0.06479000	0.07517000	-0.00172000	-0.08067000	0.13475000	-0.13656000	0.08443000	0.00095000	-0.08528000	0.13476000	-0.12970000	0.00000000	0.07246000	0.01367000	-0.09395000	0.13620000	0.00000000	-0.12367000	0.06167000
0.21333000	-0.01778000	0.06490000	0.07057000	0.00789000	-0.09108000	0.13929000	-0.12972000	0.06561000	0.02584000	-0.10557000	0.13961000	-0.11369000	0.00000000	0.03923000	0.05170000	-0.12017000	0.13709000	0.00000000	-0.09551000	0.01343000
0.22000000	-0.01824000	0.06490000	0.06567000	0.01755000	-0.10077000	0.14204000	-0.12053000	0.04522000	0.04989000	-0.12168000	0.13776000	-0.09114000	0.00000000	0.00333000	0.08564000	-0.13544000	0.12372000	0.00000000	-0.05609000	-0.03661000
0.22667000	-0.01869000	0.06479000	0.06049000	0.02722000	-0.10965000	0.14298000	-0.10915000	0.02374000	0.07235000	-0.13298000	0.12925000	-0.06331000	0.00000000	-0.03281000	0.11278000	-0.13830000	0.09740000	0.00000000	-0.01002000	-0.08178000
0.23333000	-0.01913000	0.06456000	0.05506000	0.03684000	-0.11762000	0.14207000	-0.09580000	0.00170000	0.09250000	-0.13903000	0.11453000	-0.03184000	0.00000000	-0.06671000	0.13098000	-0.12855000	0.06097000	0.00000000	0.03720000	-0.11611000
0.24000000	-0.01957000	0.06423000	0.04939000	0.04634000	-0.12462000	0.13934000	-0.08070000	-0.02036000	0.10973000	-0.13960000	0.09430000	0.00147000	0.00000000	-0.09608000	0.13883000	-0.10707000	0.01817000	0.00000000	0.08007000	-0.13511000
0.24667000	-0.02001000	0.06378000	0.04350000	0.05566000	-0.13057000	0.13479000	-0.06415000	-0.04190000	0.12347000	-0.13466000	0.06952000	0.03470000	0.00000000	-0.11891000	0.13563000	-0.07578000	-0.02653000	0.00000000	0.11345000	-0.13611000
0.25333000	-0.02044000	0.06323000	0.03741000	0.06476000	-0.13542000	0.12850000	-0.04643000	-0.06239000	0.13331000	-0.12440000	0.04140000	0.06593000	0.00000000	-0.13365000	0.12171000	-0.03759000	-0.06845000	0.00000000	0.13346000	-0.11912000
0.26000000	-0.02086000	0.06258000	0.03115000	0.07358000	-0.13912000	0.12055000	-0.02787000	-0.08134000	0.13894000	-0.10925000	0.01128000	0.09337000	0.00000000	-0.13931000	0.09814000	0.00404000	-0.10327000	0.00000000	0.13776000	-0.08636000
0.26667000	-0.02128000	0.06182000	0.02474000	0.08207000	-0.14163000	0.11102000	-0.00882000	-0.09827000	0.14017000	-0.08977000	-0.01938000	0.11542000	0.00000000	-0.13547000	0.06678000	0.04530000	-0.12727000	0.00000000	0.12574000	-0.04211000
0.27333000	-0.02169000	0.06096000	0.01819000	0.09017000	-0.14293000	0.10006000	0.01038000	-0.11278000	0.13697000	-0.06676000	-0.04911000	0.13081000	0.00000000	-0.12243000	0.03014000	0.08241000	-0.13803000	0.00000000	0.09893000	0.00769000
0.28000000	-0.02209000	0.06000000	0.01153000	0.09784000	-0.14299000	0.08779000	0.02937000	-0.12450000	0.12944000	-0.04112000	-0.07648000	0.13868000	0.00000000	-0.10107000	-0.00890000	0.11202000	-0.13443000	0.00000000	0.06045000	0.05650000
0.28667000	-0.02249000	0.05895000	0.00478000	0.10504000	-0.14182000	0.07438000	0.04781000	-0.13316000	0.11782000	-0.01385000	-0.10017000	0.13854000	0.00000000	-0.07281000	-0.04723000	0.13137000	-0.11675000	0.00000000	0.01481000	0.09778000
0.29333000	-0.02288000	0.05779000	-0.00204000	0.11172000	-0.13942000	0.06000000	0.06535000	-0.13853000	0.10247000	0.01396000	-0.11904000	0.13042000	0.00000000	-0.03962000	-0.08181000	0.13873000	-0.08694000	0.00000000	-0.03255000	0.12612000
0.30000000	-0.02327000	0.05655000	-0.00891000	0.11784000	-0.13582000	0.04485000	0.08168000	-0.14049000	0.08390000	0.04123000	-0.13220000	0.11480000	0.00000000	-0.00372000	-0.10993000	0.13344000	-0.04807000	0.00000000	-0.07610000	0.13779000
0.30667000	-0.02365000	0.05521000	-0.01580000	0.12337000	-0.13103000	0.02912000	0.09648000	-0.13899000	0.06266000	0.06687000	-0.13899000	0.09254000	0.00000000	0.03243000	-0.12930000	0.11592000	-0.00417000	0.00000000	-0.11064000	0.13111000
0.31333000	-0.02403000	0.05378000	-0.02270000	0.12828000	-0.12511000	0.01302000	0.10950000	-0.13407000	0.03945000	0.08988000	-0.13909000	0.06495000	0.00000000	0.06637000	-0.13844000	0.08783000	0.04015000	0.00000000	-0.13213000	0.10711000
0.32000000	-0.02440000	0.05226000	-0.02958000	0.13253000	-0.11810000	-0.00325000	0.12048000	-0.12585000	0.01499000	0.10935000	-0.13252000	0.03362000	0.00000000	0.09580000	-0.13662000	0.05173000	0.08030000	0.00000000	-0.13808000	0.06892000
0.32667000	-0.02477000	0.05066000	-0.03642000	0.13611000	-0.11006000	-0.01946000	0.12923000	-0.11452000	-0.00994000	0.12450000	-0.11956000	0.00035000	0.00000000	0.11870000	-0.12393000	0.01089000	0.11206000	0.00000000	-0.12766000	0.02156000
