#x	Mode 1: z	Mode 2: z	Mode 3: z	Mode 4: z	Mode 5: z	Mode 6: z	Mode 7: z	Mode 8: z	Mode 9: z	Mode 10: z	Mode 11: z	Mode 12: z	Mode 13: z	Mode 14: z	Mode 15: z	Mode 16: z	Mode 17: z	Mode 18: z	Mode 19: z	Mode 20: z
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00667000	0.00002000	-0.00010000	-0.00025000	0.00034000	-0.00044000	0.00053000	-0.00062000	0.00071000	-0.00079000	0.00088000	-0.00096000	0.00104000	0.00000000	-0.00111000	0.00119000	-0.00126000	0.00133000	0.00000000	-0.00140000	0.00147000
0.01333000	0.00006000	-0.00038000	-0.00097000	0.00133000	-0.00169000	0.00203000	-0.00236000	0.00267000	-0.00297000	0.00326000	-0.00353000	0.00379000	0.00000000	-0.00404000	0.00428000	-0.00450000	0.00471000	0.00000000	-0.00491000	0.00510000
0.02000000	0.00014000	-0.00085000	-0.00214000	0.00293000	-0.00367000	0.00438000	-0.00504000	0.00566000	-0.00624000	0.00678000	-0.00728000	0.00774000	0.00000000	-0.00816000	0.00854000	-0.00889000	0.00920000	0.00000000	-0.00948000	0.00972000
0.02667000	0.00025000	-0.00150000	-0.00374000	0.00507000	-0.00630000	0.00744000	-0.00849000	0.00945000	-0.01031000	0.01108000	-0.01176000	0.01235000	0.00000000	-0.01286000	0.01329000	-0.01364000	0.01391000	0.00000000	-0.01411000	0.01424000
0.03333000	0.00038000	-0.00232000	-0.00573000	0.00770000	-0.00950000	0.01111000	-0.01254000	0.01380000	-0.01488000	0.01580000	-0.01655000	0.01714000	0.00000000	-0.01758000	0.01787000	-0.01802000	0.01804000	0.00000000	-0.01793000	0.01771000
0.04000000	0.00055000	-0.00330000	-0.00810000	0.01078000	-0.01317000	0.01525000	-0.01702000	0.01850000	-0.01969000	0.02060000	-0.02125000	0.02163000	0.00000000	-0.02178000	0.02170000	-0.02141000	0.02092000	0.00000000	-0.02026000	0.01944000
0.04667000	0.00075000	-0.00444000	-0.01081000	0.01426000	-0.01724000	0.01974000	-0.02176000	0.02334000	-0.02447000	0.02518000	-0.02549000	0.02543000	0.00000000	-0.02503000	0.02432000	-0.02333000	0.02209000	0.00000000	-0.02063000	0.01900000
0.05333000	0.00098000	-0.00573000	-0.01384000	0.01808000	-0.02162000	0.02446000	-0.02661000	0.02810000	-0.02896000	0.02924000	-0.02897000	0.02821000	0.00000000	-0.02700000	0.02541000	-0.02349000	0.02129000	0.00000000	-0.01890000	0.01635000
0.06000000	0.00123000	-0.00717000	-0.01716000	0.02219000	-0.02624000	0.02929000	-0.03140000	0.03260000	-0.03296000	0.03254000	-0.03143000	0.02970000	0.00000000	-0.02745000	0.02478000	-0.02178000	0.01854000	0.00000000	-0.01516000	0.01174000
0.06667000	0.00151000	-0.00875000	-0.02075000	0.02655000	-0.03101000	0.03413000	-0.03599000	0.03667000	-0.03626000	0.03488000	-0.03267000	0.02975000	0.00000000	-0.02628000	0.02241000	-0.01828000	0.01403000	0.00000000	-0.00980000	0.00573000
0.07333000	0.00183000	-0.01046000	-0.02458000	0.03111000	-0.03586000	0.03887000	-0.04026000	0.04015000	-0.03871000	0.03612000	-0.03258000	0.02831000	0.00000000	-0.02352000	0.01844000	-0.01326000	0.00820000	0.00000000	-0.00341000	-0.00093000
0.08000000	0.00217000	-0.01230000	-0.02862000	0.03581000	-0.04071000	0.04341000	-0.04407000	0.04292000	-0.04018000	0.03615000	-0.03112000	0.02541000	0.00000000	-0.01931000	0.01314000	-0.00715000	0.00161000	0.00000000	0.00329000	-0.00740000
0.08667000	0.00254000	-0.01426000	-0.03286000	0.04061000	-0.04549000	0.04765000	-0.04733000	0.04486000	-0.04059000	0.03494000	-0.02832000	0.02117000	0.00000000	-0.01390000	0.00689000	-0.00048000	-0.00507000	0.00000000	0.00955000	-0.01283000
