#x	Mode 1: Theta Y	Mode 2: Theta Y	Mode 3: Theta Y	Mode 4: Theta Y	Mode 5: Theta Y	Mode 6: Theta Y	Mode 7: Theta Y	Mode 8: Theta Y	Mode 9: Theta Y	Mode 10: Theta Y	Mode 11: Theta Y	Mode 12: Theta Y	Mode 13: Theta Y	Mode 14: Theta Y	Mode 15: Theta Y	Mode 16: Theta Y	Mode 17: Theta Y	Mode 18: Theta Y	Mode 19: Theta Y	Mode 20: Theta Y
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00623000	-0.00052000	-0.00381000	-0.01113000	-0.01757000	0.00000000	-0.02268000	-0.02771000	-0.03265000	-0.03747000	0.00000000	-0.04227000	0.00000000	-0.04679000	-0.05128000	0.00000000	-0.05572000	-0.05992000	0.00000000	-0.06430000	-0.06844000
0.01247000	-0.00103000	-0.00751000	-0.02174000	-0.03395000	0.00000000	-0.04335000	-0.05237000	-0.06097000	-0.06911000	0.00000000	-0.07698000	0.00000000	-0.08410000	-0.09092000	0.00000000	-0.09743000	-0.10328000	0.00000000	-0.10918000	-0.11444000
0.01870000	-0.00154000	-0.01111000	-0.03184000	-0.04915000	0.00000000	-0.06201000	-0.07396000	-0.08496000	-0.09493000	0.00000000	-0.10414000	0.00000000	-0.11195000	-0.11898000	0.00000000	-0.12521000	-0.13018000	0.00000000	-0.13482000	-0.13826000
0.02494000	-0.00205000	-0.01462000	-0.04141000	-0.06317000	0.00000000	-0.07867000	-0.09251000	-0.10463000	-0.11496000	0.00000000	-0.12382000	0.00000000	-0.13048000	-0.13566000	0.00000000	-0.13937000	-0.14113000	0.00000000	-0.14195000	-0.14094000
0.03117000	-0.00255000	-0.01802000	-0.05047000	-0.07602000	0.00000000	-0.09333000	-0.10802000	-0.12004000	-0.12929000	0.00000000	-0.13619000	0.00000000	-0.13995000	-0.14142000	0.00000000	-0.14063000	-0.13717000	0.00000000	-0.13211000	-0.12464000
0.03740000	-0.00305000	-0.02131000	-0.05902000	-0.08769000	0.00000000	-0.10599000	-0.12053000	-0.13123000	-0.13806000	0.00000000	-0.14149000	0.00000000	-0.14079000	-0.13694000	0.00000000	-0.13007000	-0.11990000	0.00000000	-0.10755000	-0.09247000
0.04364000	-0.00354000	-0.02451000	-0.06704000	-0.09818000	0.00000000	-0.11669000	-0.13007000	-0.13831000	-0.14145000	0.00000000	-0.14008000	0.00000000	-0.13361000	-0.12319000	0.00000000	-0.10911000	-0.09140000	0.00000000	-0.07120000	-0.04841000
0.04987000	-0.00403000	-0.02761000	-0.07456000	-0.10751000	0.00000000	-0.12543000	-0.13671000	-0.14142000	-0.13973000	0.00000000	-0.13243000	0.00000000	-0.11919000	-0.10139000	0.00000000	-0.07959000	-0.05427000	0.00000000	-0.02664000	0.00282000
0.05610000	-0.00452000	-0.03060000	-0.08155000	-0.11569000	0.00000000	-0.13225000	-0.14051000	-0.14070000	-0.13322000	0.00000000	-0.11910000	0.00000000	-0.09845000	-0.07297000	0.00000000	-0.04362000	-0.01143000	0.00000000	0.02225000	0.05622000
