#x	Mode 1: x	Mode 2: x	Mode 3: x	Mode 4: x	Mode 5: x	Mode 6: x	Mode 7: x	Mode 8: x	Mode 9: x	Mode 10: x	Mode 11: x	Mode 12: x	Mode 13: x	Mode 14: x	Mode 15: x	Mode 16: x	Mode 17: x	Mode 18: x	Mode 19: x	Mode 20: x
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00623000	0.00000000	0.00000000	0.00000000	0.00000000	0.00164000	0.00000000	0.00000000	0.00000000	0.00000000	0.00487000	0.00000000	0.00000000	0.00000000	0.00000000	0.00878000	0.00000000	0.00000000	0.01284000	0.00000000	0.00000000
0.01247000	0.00000000	0.00000000	0.00000000	0.00000000	0.00327000	0.00000000	0.00000000	0.00000000	0.00000000	0.00974000	0.00000000	0.00000000	0.00000000	0.00000000	0.01754000	0.00000000	0.00000000	0.02563000	0.00000000	0.00000000
0.01870000	0.00000000	0.00000000	0.00000000	0.00000000	0.00491000	0.00000000	0.00000000	0.00000000	0.00000000	0.01461000	0.00000000	0.00000000	0.00000000	0.00000000	0.02627000	0.00000000	0.00000000	0.03831000	0.00000000	0.00000000
0.02494000	0.00000000	0.00000000	0.00000000	0.00000000	0.00655000	0.00000000	0.00000000	0.00000000	0.00000000	0.01946000	0.00000000	0.00000000	0.00000000	0.00000000	0.03495000	0.00000000	0.00000000	0.05083000	0.00000000	0.00000000
0.03117000	0.00000000	0.00000000	0.00000000	0.00000000	0.00818000	0.00000000	0.00000000	0.00000000	0.00000000	0.02431000	0.00000000	0.00000000	0.00000000	0.00000000	0.04356000	0.00000000	0.00000000	0.06315000	0.00000000	0.00000000
0.03740000	0.00000000	0.00000000	0.00000000	0.00000000	0.00982000	0.00000000	0.00000000	0.00000000	0.00000000	0.02914000	0.00000000	0.00000000	0.00000000	0.00000000	0.05209000	0.00000000	0.00000000	0.07520000	0.00000000	0.00000000
0.04364000	0.00000000	0.00000000	0.00000000	0.00000000	0.01145000	0.00000000	0.00000000	0.00000000	0.00000000	0.03395000	0.00000000	0.00000000	0.00000000	0.00000000	0.06051000	0.00000000	0.00000000	0.08694000	0.00000000	0.00000000
0.04987000	0.00000000	0.00000000	0.00000000	0.00000000	0.01309000	0.00000000	0.00000000	0.00000000	0.00000000	0.03875000	0.00000000	0.00000000	0.00000000	0.00000000	0.06882000	0.00000000	0.00000000	0.09833000	0.00000000	0.00000000
0.05610000	0.00000000	0.00000000	0.00000000	0.00000000	0.01472000	0.00000000	0.00000000	0.00000000	0.00000000	0.04351000	0.00000000	0.00000000	0.00000000	0.00000000	0.07700000	0.00000000	0.00000000	0.10931000	0.00000000	0.00000000
0.06234000	0.00000000	0.00000000	0.00000000	0.00000000	0.01635000	0.00000000	0.00000000	0.00000000	0.00000000	0.04826000	0.00000000	0.00000000	0.00000000	0.00000000	0.08503000	0.00000000	0.00000000	0.11984000	0.00000000	0.00000000
0.06857000	0.00000000	0.00000000	0.00000000	0.00000000	0.01798000	0.00000000	0.00000000	0.00000000	0.00000000	0.05297000	0.00000000	0.00000000	0.00000000	0.00000000	0.09290000	0.00000000	0.00000000	0.12987000	0.00000000	0.00000000
0.07481000	0.00000000	0.00000000	0.00000000	0.00000000	0.01961000	0.00000000	0.00000000	0.00000000	0.00000000	0.05766000	0.00000000	0.00000000	0.00000000	0.00000000	0.10058000	0.00000000	0.00000000	0.13937000	0.00000000	0.00000000
0.08104000	0.00000000	0.00000000	0.00000000	0.00000000	0.02124000	0.00000000	0.00000000	0.00000000	0.00000000	0.06231000	0.00000000	0.00000000	0.00000000	0.00000000	0.10807000	0.00000000	0.00000000	0.14829000	0.00000000	0.00000000
0.08727000	0.00000000	0.00000000	0.00000000	0.00000000	0.02287000	0.00000000	0.00000000	0.00000000	0.00000000	0.06692000	0.00000000	0.00000000	0.00000000	0.00000000	0.11536000	0.00000000	0.00000000	0.15660000	0.00000000	0.00000000
0.09351000	0.00000000	0.00000000	0.00000000	0.00000000	0.02450000	0.00000000	0.00000000	0.00000000	0.00000000	0.07149000	0.00000000	0.00000000	0.00000000	0.00000000	0.12242000	0.00000000	0.00000000	0.16427000	0.00000000	0.00000000
