#x	Mode 1: z	Mode 2: z	Mode 3: z	Mode 4: z	Mode 5: z	Mode 6: z	Mode 7: z	Mode 8: z	Mode 9: z	Mode 10: z	Mode 11: z	Mode 12: z	Mode 13: z	Mode 14: z	Mode 15: z	Mode 16: z	Mode 17: z	Mode 18: z	Mode 19: z	Mode 20: z
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00623000	0.00001000	0.00009000	0.00027000	0.00043000	0.00000000	0.00055000	0.00068000	0.00080000	0.00092000	0.00000000	0.00104000	0.00000000	0.00116000	0.00128000	0.00000000	0.00139000	0.00150000	0.00000000	0.00162000	0.00173000
0.01247000	0.00005000	0.00036000	0.00106000	0.00167000	0.00000000	0.00214000	0.00261000	0.00307000	0.00350000	0.00000000	0.00394000	0.00000000	0.00434000	0.00474000	0.00000000	0.00513000	0.00549000	0.00000000	0.00586000	0.00621000
0.01870000	0.00011000	0.00081000	0.00235000	0.00367000	0.00000000	0.00468000	0.00566000	0.00659000	0.00746000	0.00000000	0.00831000	0.00000000	0.00908000	0.00982000	0.00000000	0.01052000	0.01116000	0.00000000	0.01179000	0.01236000
0.02494000	0.00020000	0.00143000	0.00411000	0.00637000	0.00000000	0.00807000	0.00966000	0.01115000	0.01252000	0.00000000	0.01381000	0.00000000	0.01494000	0.01598000	0.00000000	0.01693000	0.01773000	0.00000000	0.01851000	0.01914000
0.03117000	0.00031000	0.00221000	0.00632000	0.00971000	0.00000000	0.01220000	0.01449000	0.01656000	0.01841000	0.00000000	0.02008000	0.00000000	0.02146000	0.02267000	0.00000000	0.02370000	0.02446000	0.00000000	0.02515000	0.02559000
0.03740000	0.00044000	0.00316000	0.00895000	0.01365000	0.00000000	0.01699000	0.01999000	0.02261000	0.02485000	0.00000000	0.02678000	0.00000000	0.02824000	0.02939000	0.00000000	0.03024000	0.03069000	0.00000000	0.03096000	0.03086000
0.04364000	0.00060000	0.00426000	0.01197000	0.01811000	0.00000000	0.02235000	0.02601000	0.02909000	0.03158000	0.00000000	0.03356000	0.00000000	0.03485000	0.03567000	0.00000000	0.03602000	0.03579000	0.00000000	0.03528000	0.03427000
0.04987000	0.00078000	0.00551000	0.01537000	0.02305000	0.00000000	0.02816000	0.03243000	0.03582000	0.03834000	0.00000000	0.04012000	0.00000000	0.04095000	0.04109000	0.00000000	0.04058000	0.03932000	0.00000000	0.03766000	0.03539000
0.05610000	0.00099000	0.00691000	0.01912000	0.02841000	0.00000000	0.03436000	0.03909000	0.04261000	0.04491000	0.00000000	0.04618000	0.00000000	0.04619000	0.04529000	0.00000000	0.04356000	0.04092000	0.00000000	0.03778000	0.03397000
